 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk, Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,3580,7,9,4788,3976,684,10,684,26.302888412601337,441,0,441,32.89505626912531,2448058,4468,223,288.4872148761698,3580,1,2864,409,0,2864,0,2148,238,0,2148,0,0,0,0,0,140,180,1955,2513,0,1000,547,92.576718237884,733.4691652217822,0,1,0,0,1,0,0,0,1.29,547,684,441,140,0,0,0,0,0,0,7,4788,9,3976,45738,38671,6,20,0,0,0,0,0,0,0,0,BENIGN
443,4602,10,6,1149,3418,114,10,114,9.241577119068367,569,0,569,44.960085794773235,992532,3476,287,891.701561228483,4602,5,3682,368,0,3682,0,2761,460,0,2761,0,0,0,0,0,200,120,2172,1303,0,1000,285,53.079119479794215,224.2449837447812,0,0,0,0,1,0,0,0,0.6,285,114,569,200,0,0,0,0,0,0,10,1149,6,3418,56415,34311,9,20,0,0,0,0,0,0,0,0,BENIGN
123,792,7,3,2281,2192,325,10,325,44.45562999252671,730,0,730,24.478214691748292,5642173,12612,79,36.82042695406806,792,1,634,90,0,634,0,475,158,0,475,0,0,0,0,0,140,60,8828,3783,0,1000,447,20.45172908200784,738.3264002924399,0,1,0,0,0,0,0,0,0.43,447,325,730,140,0,0,0,0,0,0,7,2281,3,2192,58650,34192,6,20,0,0,0,0,0,0,0,0,BENIGN
12142,78,1,0,0,0,0,0,0,12.30769182514792,0,0,0,21.47053278229742,0,12788,78,558.6757781128874,78,3,62,62,0,62,0,46,0,0,46,0,0,0,0,0,20,0,12788,0,0,1000,0,28.720643508332955,722.3726771810143,0,1,0,0,0,0,0,0,0.0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,41566,62621,0,20,0,0,0,0,0,0,0,0,PortScan
22,3136,8,6,3170,5475,396,10,396,41.79260812023776,912,0,912,6.437190450288694,2756457,4463,224,343.10092436730935,3136,3,2509,313,0,2509,0,1881,313,0,1881,0,0,0,0,0,160,120,2550,1912,0,1000,617,13.542973758704157,774.4618687609133,0,0,0,0,1,0,0,0,0.75,617,396,912,160,0,0,0,0,0,0,8,3170,6,5475,57552,33759,7,20,0,0,0,0,0,0,0,0,BENIGN
123,3726,4,10,1355,10893,338,10,338,25.836752741294994,1089,0,1089,13.851957881358551,3287095,3756,266,911.8322078004974,3726,6,2981,745,0,2981,0,2235,223,0,2235,0,0,0,0,0,80,200,1073,2683,0,1000,874,98.06250662920822,82.75008991564891,0,1,0,0,1,0,0,0,2.5,874,338,1089,80,0,0,0,0,0,0,4,1355,10,10893,33380,38661,3,20,0,0,0,0,0,0,0,0,BENIGN
22,1811,9,11,1853,2103,205,10,205,45.43514537871463,191,0,191,43.335275374400176,2184258,11039,90,589.9271150127088,1811,10,1449,161,0,1449,0,1086,98,0,1086,0,0,0,0,0,180,220,4967,6071,0,1000,197,19.617855468548264,27.07000153737549,0,0,0,0,1,0,0,0,1.22,197,205,191,180,0,0,0,0,0,0,9,1853,11,2103,60025,43167,8,20,0,0,0,0,0,0,0,0,BENIGN
443,1654218,296,0,36953,0,124,0,124,0.7906582239863458,0,0,0,32.813441688829094,22339,178,5588,450.63247640931803,1654218,2,1323375,4470,0,1323375,0,992531,0,0,992531,0,0,0,0,0,5920,0,178,0,0,1500,124,37.64978472634599,952.1391543734488,0,1,0,0,0,0,0,0,0.0,124,124,0,5920,0,0,0,0,0,0,296,36953,0,0,32575,46579,295,20,0,0,0,0,0,0,0,0,DDoS
80,3497,10,9,950,8692,95,10,95,34.0074189387905,965,0,965,24.543929815290994,2756755,5431,184,344.0818536294372,3497,8,2798,279,0,2798,0,2098,233,0,2098,0,0,0,0,0,200,180,2858,2572,0,1000,507,38.749627043133536,726.1041732214028,0,1,0,0,0,0,0,0,0.9,507,95,965,200,0,0,0,0,0,0,10,950,9,8692,51191,61217,9,20,0,0,0,0,0,0,0,0,BENIGN
443,3463068,425,3,488288,147,1148,0,1148,46.53856931923932,49,0,49,0.5914589404832027,141041,123,8091,955.6678394661366,3463068,9,2770454,6518,0,2770454,0,2077840,692613,0,2077840,0,0,0,0,0,8500,60,122,0,0,1500,1141,12.722846260514508,361.32440782461305,0,1,0,0,0,0,0,0,0.01,1141,1148,49,8500,0,0,0,0,0,0,425,488288,3,147,59763,62979,424,20,0,0,0,0,0,0,0,0,DDoS
